loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
,,,1.5,600,0.001196343102492392,230.1674,1.738,1.738,,,,,
0.002243022248148918,0.006783591117709875,1.4217876736622849e-05,1.525,610,,,,,,,,,
0.008998361229896546,0.0009691226878203452,1.2833730286637514e-05,1.55,620,,,,,,,,,
0.008632639050483703,0.0009100622264668345,1.151049066143003e-05,1.575,630,,,,,,,,,
0.0039038028568029403,0.0024207921233028173,1.0250326341308276e-05,1.6,640,,,,,,,,,
0.006136291101574898,0.0891856998205185,9.055302440905177e-06,1.625,650,,,,,,,,,
,,,1.625,650,0.001186017063446343,230.1054,1.738,1.738,,,,,
0.0015972396358847618,0.0050133150070905685,7.927377324938801e-06,1.65,660,,,,,,,,,
0.0001354793319478631,0.007494036108255386,6.868399398910391e-06,1.675,670,,,,,,,,,
0.005241314321756363,0.005145673174411058,5.8801040800001815e-06,1.7,680,,,,,,,,,
0.0022055132314562796,0.0008635360281914473,4.964110953124307e-06,1.725,690,,,,,,,,,
0.00011772813741117716,0.0007555627962574363,4.121921116813948e-06,1.75,700,,,,,,,,,
,,,1.75,700,0.0011495575308799744,229.3488,1.744,1.744,,,,,
0.0001154747442342341,0.0004132794856559485,3.354914723265867e-06,1.775,710,,,,,,,,,
0.0005384373944252729,0.0010638111270964146,2.6643487165956604e-06,1.8,720,,,,,,,,,
0.00038659346755594016,0.0007623762357980013,2.0513547730003355e-06,1.825,730,,,,,,,,,
0.009976562112569809,0.023229774087667465,1.5169374462056242e-06,1.85,740,,,,,,,,,
0.005236157774925232,0.38437604904174805,1.0619725212373754e-06,1.875,750,,,,,,,,,
,,,1.875,750,0.0011506659211590886,229.3449,1.744,1.744,,,,,
0.003134022653102875,0.005501639563590288,6.872055792146614e-07,1.9,760,,,,,,,,,
0.00010713041992858053,0.0006635566242039204,3.932507755167236e-07,1.925,770,,,,,,,,,
0.0020463673397898676,0.0010755539406090975,1.805898333258782e-07,1.95,780,,,,,,,,,
0.0001642974209971726,0.013759579509496689,4.957125419590147e-08,1.975,790,,,,,,,,,
0.00041452250443398955,0.25505051016807556,4.0974693947259944e-10,2.0,800,,,,,,,,,
,,,2.0,800,0.0011489477474242449,230.0028,1.739,1.739,,,,,
,,,2.0,800,,,,,14708.7944,0.435,0.054,1.7896113455603712e+17,0.010462481619906611
