loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3774932146072388,1.8967909812927246,3.7500000000000003e-05,0.025,10,,,,,,,,,
0.055497759580612184,0.4036921262741089,7.916666666666666e-05,0.05,20,,,,,,,,,
0.04399715662002564,1.1319706439971924,9.998975666229445e-05,0.075,30,,,,,,,,,
0.019265401363372802,0.07874651253223419,9.990783514116257e-05,0.1,40,,,,,,,,,
0.006121332570910454,0.06617994606494904,9.974412634911467e-05,0.125,50,,,,,,,,,
,,,0.125,50,0.004295828752219677,230.5343,1.735,1.735,,,,,
0.0068213120102882385,0.5349778532981873,9.949889856657788e-05,0.15,60,,,,,,,,,
0.021822725236415864,0.061806146055459976,9.917255366454157e-05,0.175,70,,,,,,,,,
0.014722660183906555,0.015438099391758442,9.876562644598486e-05,0.2,80,,,,,,,,,
0.019271159172058107,0.030723141506314278,9.827878376945958e-05,0.225,90,,,,,,,,,
0.0006635967176407576,0.003935526590794325,9.771282345626505e-05,0.25,100,,,,,,,,,
,,,0.25,100,0.002159092342481017,229.7778,1.741,1.741,,,,,
0.021894745528697968,0.6510710716247559,9.706867298300552e-05,0.275,110,,,,,,,,,
0.001540010143071413,0.03321968391537666,9.634738796167295e-05,0.3,120,,,,,,,,,
0.0027574261650443075,0.0024809804745018482,9.555015040974578e-05,0.325,130,,,,,,,,,
0.0037094246596097945,0.005533462855964899,9.467826681313864e-05,0.35,140,,,,,,,,,
0.001799759641289711,0.18535363674163818,9.373316598517763e-05,0.375,150,,,,,,,,,
,,,0.375,150,0.001965378876775503,229.859,1.74,1.74,,,,,
0.00029393767472356557,0.0021996439900249243,9.271639672510917e-05,0.4,160,,,,,,,,,
0.005792561173439026,0.0018719984218478203,9.162962527998038e-05,0.425,170,,,,,,,,,
0.001487523876130581,0.026590896770358086,9.04746326140498e-05,0.45,180,,,,,,,,,
0.005357013270258904,0.26284247636795044,8.925331149020339e-05,0.475,190,,,,,,,,,
0.005545657873153686,0.06784062087535858,8.796766336815883e-05,0.5,200,,,,,,,,,
,,,0.5,200,0.0028565209358930588,229.2505,1.745,1.745,,,,,
0.008075421303510666,0.017509333789348602,8.661979512454104e-05,0.525,210,,,,,,,,,
0.00229564756155014,0.04173991456627846,8.521191560020417e-05,0.55,220,,,,,,,,,
0.009794475883245468,0.5430987477302551,8.374633198045785e-05,0.575,230,,,,,,,,,
0.0007135950028896332,0.002449279185384512,8.222544601413005e-05,0.6,240,,,,,,,,,
0.00702781081199646,0.0015545289497822523,8.065175007766248e-05,0.625,250,,,,,,,,,
,,,0.625,250,0.0017186716431751847,229.4625,1.743,1.743,,,,,
0.0029556579887866975,0.007700546644628048,7.90278230906883e-05,0.65,260,,,,,,,,,
0.002659929357469082,0.1340324878692627,7.735632628978601e-05,0.675,270,,,,,,,,,
0.002171183004975319,0.012293386273086071,7.563999886733501e-05,0.7,280,,,,,,,,,
0.008329306542873383,0.6113342642784119,7.388165348261982e-05,0.725,290,,,,,,,,,
0.004847587645053863,0.12778964638710022,7.208417165253928e-05,0.75,300,,,,,,,,,
,,,0.75,300,0.0018102957401424646,230.0175,1.739,1.739,,,,,
0.003322090208530426,0.006314074154943228,7.025049902947418e-05,0.775,310,,,,,,,,,
0.0005454242695122957,0.010719405487179756,6.838364057405184e-05,0.8,320,,,,,,,,,
0.001873972825706005,0.03234977275133133,6.648665563071834e-05,0.825,330,,,,,,,,,
0.012985283136367798,0.007560033816844225,6.456265291418841e-05,0.85,340,,,,,,,,,
0.006124354526400566,0.05568539351224899,6.2614785414989e-05,0.875,350,,,,,,,,,
,,,0.875,350,0.0016159559600055218,231.3193,1.729,1.729,,,,,
0.0007298238575458527,0.014036469161510468,6.06462452324451e-05,0.9,360,,,,,,,,,
0.021994748711586,0.014079279266297817,5.8660258343575405e-05,0.925,370,,,,,,,,,
0.0013823607936501504,0.004795407876372337,5.666007931647038e-05,0.95,380,,,,,,,,,
0.00027557953726500275,0.0017579183913767338,5.4648985976816295e-05,0.975,390,,,,,,,,,
