loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.1750985145568849,2.3950181007385254,4.997050398198977e-05,0.05333333333333334,10,,,,,,,,,
0.976933765411377,2.2703135013580322,4.944806430988927e-05,0.10666666666666667,20,,,,,,,,,
0.961600399017334,2.0048511028289795,4.828590234527106e-05,0.16,30,,,,,,,,,
0.9197002410888672,2.1571335792541504,4.6514427895098134e-05,0.21333333333333335,40,,,,,,,,,
0.8774992942810058,2.3965883255004883,4.417999439177466e-05,0.26666666666666666,50,,,,,,,,,
,,,0.26666666666666666,50,0.8348603248596191,170.8746,1.17,1.17,,,,,
0.8714624404907226,2.4307210445404053,4.134368598223132e-05,0.32,60,,,,,,,,,
0.8899866104125976,2.3630712032318115,3.807971916455325e-05,0.37333333333333335,70,,,,,,,,,
0.8058879852294922,1.997890591621399,3.447350079585767e-05,0.4266666666666667,80,,,,,,,,,
0.8863922119140625,2.0860800743103027,3.061939328671824e-05,0.48,90,,,,,,,,,
0.8000658988952637,1.8865927457809448,2.6618245459360897e-05,0.5333333333333333,100,,,,,,,,,
,,,0.5333333333333333,100,0.7911396622657776,170.8355,1.171,1.171,,,,,
0.8692943572998046,2.0788800716400146,2.25747536786338e-05,0.5866666666666667,110,,,,,,,,,
0.8053851127624512,1.9744908809661865,1.859472230593569e-05,0.64,120,,,,,,,,,
0.7986613273620605,1.8147265911102295,1.4782295160661103e-05,0.6933333333333334,130,,,,,,,,,
0.8176059722900391,2.383937358856201,1.1237230432354912e-05,0.7466666666666667,140,,,,,,,,,
0.8508455276489257,2.469377040863037,8.052290349812419e-06,0.8,150,,,,,,,,,
,,,0.8,150,0.7727034091949463,170.9035,1.17,1.17,,,,,
0.7751096248626709,1.924826741218567,5.310813910563644e-06,0.8533333333333334,160,,,,,,,,,
0.84799222946167,2.1116414070129395,3.08453618411631e-06,0.9066666666666666,170,,,,,,,,,
0.8326828956604004,2.1092936992645264,1.4317112503391432e-06,0.96,180,,,,,,,,,
0.7952670574188232,1.7558244466781616,3.9558788927314407e-07,1.0106666666666666,190,,,,,,,,,
0.7065389633178711,1.7240651845932007,3.2779083591949478e-09,1.064,200,,,,,,,,,
,,,1.064,200,0.7682154774665833,170.9028,1.17,1.17,,,,,
,,,1.064,200,,,,,5085.0775,0.315,0.039,7.00112101522391e+16,0.8632005214691162
